SOURCE: 0-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Fe  K  1.401100e+05  4.10e+02  0.02222  
Co  K  1.071633e+03  1.41e+02  0.0001525  
Ni  K  1.259636e+03  1.27e+02  0.0001672  
Cu  K  3.817852e+02  1.05e+02  4.836e-05  
Zn  K  1.080615e+03  1.09e+02  0.0001348  
As  K  2.690522e+02  1.46e+02  3.678e-05  
Rb  K  2.147466e+01  6.41e+01  6.578e-06  
Sr  K  7.542250e+01  4.70e+01  3.258e-05  
Y  K  5.662034e-01  1.44e+01  4.299e-07  
Zr  K  3.910090e+04  1.85e+05  0.0553  
Rh  L  6.136099e+04  4.68e+02  0.17  
Pd  L  2.725249e+02  4.29e+02  0.0005408  
Hg  L  7.346806e+02  1.55e+02  0.0001931  
Pb  L  5.717777e+02  1.71e+02  0.0001775  

SOURCE: 20-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.871805e+03  6.31e+01  0.1055  
P  K  5.751945e+00  5.60e+01  8.206e-05  
S  K  2.931506e+03  8.80e+01  0.01272  
Cl  K  4.969849e+03  1.99e+02  0.01082  
Ar  K  3.555731e+01  1.91e+02  4.491e-05  
K  K  5.152292e+04  2.62e+02  0.03297  
Ca  K  2.511655e+05  5.30e+02  0.1236  
Sc  K  1.070571e+00  1.60e+02  5.701e-07  
Ti  K  3.001909e+03  1.07e+02  0.001111  
V  K  3.474579e+01  9.69e+01  1.012e-05  
Cr  K  7.563724e+03  1.40e+02  0.001629  
Mn  K  1.639876e+03  1.22e+02  0.0003037  
Fe  K  1.415251e+05  4.13e+02  0.02212  
Co  K  3.299084e-02  1.43e+02  4.626e-09  
Ni  K  1.094744e+03  1.35e+02  0.0001429  
Cu  K  3.502336e+02  1.10e+02  4.362e-05  
Zn  K  9.340590e+02  1.14e+02  0.0001145  
As  K  2.480902e+00  1.59e+02  3.333e-07  
Rb  K  2.905910e+01  6.93e+01  8.746e-06  
Sr  K  9.707510e+01  5.10e+01  4.12e-05  
Y  K  7.945363e-02  1.59e+01  5.926e-08  
Zr  K  1.637694e+03  1.78e+05  0.002275  
Rh  L  5.761566e+04  4.41e+02  0.1607  
Pd  L  3.790886e+00  3.93e+02  7.571e-06  
Hg  L  1.048270e+03  1.65e+02  0.0002708  
Pb  L  9.866060e+02  1.91e+02  0.000301  

SOURCE: 20-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.956303e+03  6.57e+01  0.1102  
P  K  2.672518e+00  5.78e+01  3.834e-05  
S  K  3.299851e+03  9.15e+01  0.01438  
Cl  K  2.857706e+03  2.02e+02  0.006245  
Ar  K  4.805446e+01  2.06e+02  6.088e-05  
K  K  5.137052e+04  2.64e+02  0.03294  
Ca  K  2.524267e+05  5.31e+02  0.124  
Sc  K  6.803078e-01  1.61e+02  3.603e-07  
Ti  K  2.860837e+03  1.06e+02  0.001053  
V  K  1.580912e-01  9.48e+01  4.576e-08  
Cr  K  7.398064e+03  1.38e+02  0.001583  
Mn  K  1.364073e+03  1.19e+02  0.000251  
Fe  K  1.416387e+05  4.12e+02  0.02199  
Co  K  7.941256e+02  1.42e+02  0.0001106  
Ni  K  1.230570e+03  1.27e+02  0.0001594  
Cu  K  6.532728e+02  1.06e+02  8.073e-05  
Zn  K  1.062595e+03  1.09e+02  0.0001292  
As  K  1.062414e+02  1.49e+02  1.416e-05  
Rb  K  8.919918e+01  6.51e+01  2.663e-05  
Sr  K  1.292582e+02  5.03e+01  5.441e-05  
Y  K  3.414765e-01  1.69e+01  2.526e-07  
Zr  K  2.822965e+02  1.96e+05  0.000389  
Rh  L  6.020893e+04  4.61e+02  0.1685  
Pd  L  3.154168e+00  4.23e+02  6.319e-06  
Hg  L  7.585422e+02  1.58e+02  0.0001944  
Pb  L  8.751539e+02  1.76e+02  0.0002648  

SOURCE: 30-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.434524e+03  6.34e+01  0.08054  
P  K  2.424476e+01  6.22e+01  0.0003135  
S  K  3.052827e+03  9.28e+01  0.01237  
Cl  K  2.223816e+03  2.02e+02  0.004547  
Ar  K  3.509001e+00  2.12e+02  4.203e-06  
K  K  4.765989e+04  2.58e+02  0.02909  
Ca  K  3.526548e+05  6.23e+02  0.1714  
Sc  K  3.518340e+02  1.81e+02  0.0002092  
Ti  K  2.388934e+03  1.03e+02  0.0009897  
V  K  2.536962e+00  9.27e+01  8.279e-07  
Cr  K  7.353620e+03  1.36e+02  0.001775  
Mn  K  1.203651e+03  1.16e+02  0.0002489  
Fe  K  1.196274e+05  3.82e+02  0.02083  
Co  K  9.280726e+02  1.37e+02  0.0001448  
Ni  K  1.042905e+03  1.35e+02  0.0001494  
Cu  K  3.832513e+02  1.02e+02  5.241e-05  
Zn  K  9.554474e+02  1.06e+02  0.0001287  
As  K  3.162966e+02  1.43e+02  4.672e-05  
Rb  K  7.835565e+01  6.28e+01  2.594e-05  
Sr  K  2.992769e+01  4.70e+01  1.397e-05  
Y  K  3.789692e-01  1.60e+01  3.11e-07  
Zr  K  1.136694e+04  1.87e+05  0.01737  
Rh  L  6.041933e+04  4.67e+02  0.1591  
Pd  L  1.403665e+00  4.35e+02  2.653e-06  
Hg  L  6.493886e+02  1.48e+02  0.0001844  
