SOURCE: ISic000655-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Cl  K  2.489388e+02  5.15e+01  0.00563  
Ar  K  8.041867e+02  6.79e+01  0.009182  
K  K  1.589324e+03  5.74e+01  0.008548  
Ca  K  2.355268e+05  4.91e+02  0.6567  
Sc  K  1.273971e+02  1.11e+02  0.0002128  
Ti  K  3.590381e+02  3.79e+01  0.0003558  
V  K  2.069369e+01  2.09e+01  1.272e-05  
Cr  K  5.381789e+01  1.87e+01  2.043e-05  
Mn  K  1.015542e+02  1.87e+01  2.556e-05  
Fe  K  4.394813e+03  6.93e+01  0.000732  
Co  K  9.178035e+00  1.88e+01  1.089e-06  
Ni  K  8.155436e+01  2.63e+01  1.11e-05  
Cu  K  2.849566e+02  2.43e+01  5.215e-05  
Zn  K  1.508742e+02  2.12e+01  2.359e-05  
Ga  K  3.155707e+01  1.99e+01  1.166e-05  
As  K  8.936310e+01  6.27e+01  2.602e-05  
Rb  K  5.299764e+02  6.74e+01  8.226e-05  
Sr  K  7.968168e+03  1.22e+02  0.001139  
Y  K  2.697807e+02  7.74e+01  3.62e-05  
Zr  K  8.806900e+02  9.49e+01  0.0001133  
Nb  K  3.617178e+02  8.75e+01  4.563e-05  
Rh  L  9.278784e+01  8.48e+01  0.001282  
Pd  L  9.372730e+02  1.02e+02  0.01016  
Cs  L  5.275916e+01  3.45e+01  7.482e-05  
Ba  L  1.473696e+01  6.19e+01  1.705e-05  
La  L  6.235792e+01  3.49e+01  5.713e-05  
Ce  L  1.039492e+02  4.28e+01  7.586e-05  
Au  L  1.995826e+02  4.84e+01  6.333e-05  
Hg  L  3.382881e+02  5.42e+01  9.929e-05  
Pb  L  7.953986e+02  1.13e+02  0.0002035  
Th  L  4.747430e+02  1.05e+02  8.332e-05  

SOURCE: ISic000656-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.347993e+02  3.53e+01  0.2103  
Si  K  1.426764e+02  3.52e+01  0.05751  
P  K  8.253272e+01  4.93e+01  0.0117  
S  K  3.639435e+02  4.33e+01  0.01936  
Cl  K  3.265537e+02  5.43e+01  0.007891  
Ar  K  7.268009e+02  6.82e+01  0.008875  
K  K  1.512268e+03  5.76e+01  0.008702  
Ca  K  2.542187e+05  5.09e+02  0.7584  
Sc  K  1.479883e+02  1.12e+02  0.0002643  
Ti  K  2.193871e+02  3.52e+01  0.0002324  
V  K  2.434773e+01  2.19e+01  1.598e-05  
Cr  K  6.289790e+01  1.93e+01  2.548e-05  
Mn  K  5.895523e+01  1.80e+01  1.581e-05  
Fe  K  4.184008e+03  6.82e+01  0.0007407  
Co  K  3.857328e+01  2.14e+01  4.849e-06  
Ni  K  2.992319e+01  2.54e+01  2.701e-06  
Cu  K  2.658271e+02  2.40e+01  4.538e-05  
Zn  K  3.859856e+03  6.80e+01  0.0005995  
Ga  K  1.129148e+01  2.00e+01  1.856e-06  
As  K  1.921528e+02  6.28e+01  5.893e-05  
Rb  K  5.489665e+02  6.82e+01  9.024e-05  
Sr  K  9.651059e+03  1.33e+02  0.001463  
Y  K  3.186119e+02  7.98e+01  4.536e-05  
Zr  K  5.668412e+02  9.66e+01  7.745e-05  
Nb  K  3.156641e+02  8.98e+01  4.229e-05  
Rh  L  1.008505e+02  8.81e+01  0.001486  
Pd  L  9.016380e+02  1.04e+02  0.01043  
Cs  L  1.964974e+01  3.65e+01  2.972e-05  
Ba  L  6.657377e+01  6.06e+01  8.214e-05  
La  L  1.331605e+01  3.35e+01  1.301e-05  
Ce  L  6.887201e+01  4.08e+01  5.357e-05  
Au  L  1.388337e+02  5.51e+01  4.324e-05  
Hg  L  2.645187e+02  5.51e+01  8.189e-05  
Pb  L  8.430717e+02  1.18e+02  0.0002199  
Th  L  7.437287e+02  1.10e+02  0.0001384  

SOURCE: ISic000656-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  9.684367e+01  3.38e+01  0.141  
Si  K  6.583663e+01  3.27e+01  0.02468  
P  K  1.065880e+02  4.86e+01  0.01401  
S  K  2.741274e+02  4.11e+01  0.0135  
