SOURCE: ISic000662-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Pd  L  2.147749e+03  4.88e+02  0.002818  

SOURCE: ISic000786-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.574416e+01  4.84e+01  0.0008464  
P  K  5.403767e+02  9.15e+01  0.004856  
S  K  3.740197e+03  1.06e+02  0.01021  
Cl  K  1.923457e+03  2.40e+02  0.002672  
Ar  K  2.067652e+03  2.34e+02  0.001724  
K  K  9.910692e+02  1.14e+02  0.0004231  
Ca  K  9.346052e+05  9.88e+02  0.4005  
Sc  K  7.171631e+01  2.61e+02  6.237e-05  
Ti  K  1.517333e+03  9.36e+01  0.000924  
V  K  1.407342e+02  7.85e+01  6.78e-05  
Cr  K  7.209580e+03  1.24e+02  0.00257  
Mn  K  5.896550e+02  9.44e+01  0.0001764  
Fe  K  1.076893e+04  1.46e+02  0.002684  
Co  K  1.046757e+03  9.82e+01  0.0002319  
Ni  K  4.013943e+02  1.31e+02  7.657e-05  
Cu  K  3.136646e+02  8.17e+01  5.713e-05  
Zn  K  1.221714e+03  8.93e+01  0.0002192  
As  K  4.583391e+02  8.11e+01  9.027e-05  
Rb  K  1.539085e+02  5.01e+01  6.794e-05  
Sr  K  3.152504e+01  3.70e+01  1.963e-05  
Y  K  3.548796e+01  1.24e+01  3.882e-05  
Zr  K  2.937994e+05  1.57e+05  0.5984  
Rh  L  6.399737e+04  5.20e+02  0.116  
Pd  L  1.269721e+03  4.72e+02  0.001655  

SOURCE: ISic001246-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.920727e+01  5.28e+01  0.001049  
P  K  5.633341e+02  1.02e+02  0.005176  
S  K  1.812766e+04  1.70e+02  0.05145  
Cl  K  2.182331e+03  2.36e+02  0.003154  
Ar  K  1.066168e+03  2.34e+02  0.0009242  
K  K  3.429219e+03  1.34e+02  0.001521  
Ca  K  1.160992e+06  1.10e+03  0.5083  
Sc  K  4.967350e+02  2.83e+02  0.0004324  
Ti  K  3.019865e+03  1.07e+02  0.001841  
V  K  8.704075e+01  8.16e+01  4.198e-05  
Cr  K  6.946044e+03  1.25e+02  0.00248  
Mn  K  1.151375e+03  1.03e+02  0.000345  
Fe  K  1.407588e+04  1.63e+02  0.003514  
Co  K  7.947548e+02  1.03e+02  0.0001763  
Ni  K  6.651728e+02  1.41e+02  0.0001271  
Cu  K  5.646307e+02  9.12e+01  0.000103  
Zn  K  1.436161e+03  9.75e+01  0.0002581  
As  K  6.828320e+02  8.87e+01  0.0001347  
Rb  K  1.218298e+02  5.42e+01  5.386e-05  
Sr  K  1.307521e+02  4.23e+01  8.152e-05  
Y  K  2.049093e+01  1.42e+01  2.245e-05  
Zr  K  8.962597e+04  1.69e+05  0.1828  
Rh  L  6.308752e+04  5.05e+02  0.1189  
Pd  L  2.910504e+03  4.74e+02  0.003946  

SOURCE: ISic001247-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  3.331029e+01  5.20e+01  0.001817  
P  K  1.282550e-01  9.67e+01  1.183e-06  
S  K  1.461182e+04  1.57e+02  0.04211  
Cl  K  2.578612e+03  2.32e+02  0.003782  
Ar  K  5.349819e+02  2.34e+02  0.0004702  
K  K  3.189747e+03  1.32e+02  0.001433  
Ca  K  1.092593e+06  1.07e+03  0.4776  
Sc  K  5.130601e+02  2.74e+02  0.0004398  
Ti  K  2.384093e+03  1.03e+02  0.001431  
V  K  3.070965e+01  8.30e+01  1.458e-05  
Cr  K  6.988928e+03  1.25e+02  0.002456  
Mn  K  1.311486e+03  1.04e+02  0.000387  
Fe  K  2.010607e+04  1.83e+02  0.004947  
Co  K  7.150106e+02  1.05e+02  0.0001564  
Ni  K  9.659849e+02  1.45e+02  0.0001825  
Cu  K  4.348188e+02  9.20e+01  7.844e-05  
Zn  K  1.140005e+03  9.60e+01  0.0002026  
As  K  5.195611e+02  8.80e+01  0.0001013  
Rb  K  1.232770e+02  5.58e+01  5.39e-05  
Sr  K  2.993515e+01  4.12e+01  1.846e-05  
Y  K  4.868467e-01  1.33e+01  5.274e-07  
Zr  K  1.414092e+05  1.65e+05  0.2853  
Rh  L  6.222558e+04  5.03e+02  0.119  
Pd  L  2.514409e+01  4.73e+02  3.456e-05  

SOURCE: ISic001247-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
