SOURCE: MK-ISic000065-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.747772e+02  5.41e+01  0.03642  
P  K  4.078669e+02  6.51e+01  0.005811  
S  K  3.678114e+03  9.75e+01  0.01579  
Cl  K  3.165528e+03  2.11e+02  0.006739  
Ar  K  1.363990e+03  2.20e+02  0.001664  
K  K  2.353409e+04  1.96e+02  0.01426  
Ca  K  2.647799e+05  5.41e+02  0.1108  
Sc  K  3.606691e+01  1.73e+02  1.57e-05  
Ti  K  5.385306e+04  2.74e+02  0.01664  
V  K  5.860948e+02  1.51e+02  0.0001449  
Cr  K  7.042509e+03  1.45e+02  0.001368  
Mn  K  1.090642e+04  1.70e+02  0.002196  
Fe  K  1.051757e+06  1.04e+03  0.2014  
Co  K  6.178932e+03  2.20e+02  0.001118  
Ni  K  1.828376e+03  1.07e+02  0.0004519  
Cu  K  7.192797e+02  9.22e+01  0.0001712  
Zn  K  1.821940e+03  9.95e+01  0.0004302  
As  K  2.556047e+02  8.32e+01  6.74e-05  
Rb  K  2.156884e+02  5.72e+01  0.0001298  
Sr  K  3.300442e+01  4.08e+01  2.812e-05  
Y  K  2.809510e+01  1.42e+01  4.222e-05  
Zr  K  3.430129e+04  1.56e+05  0.09628  
Rh  L  6.435683e+04  4.74e+02  0.1738  
Pd  L  4.047054e+03  4.44e+02  0.007775  

SOURCE: MK-ISic000284-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  9.797895e+02  5.77e+01  0.07054  
P  K  5.754627e-02  6.58e+01  8.549e-07  
S  K  4.211118e+03  9.91e+01  0.01884  
Cl  K  4.267020e+03  2.16e+02  0.009442  
Ar  K  9.911353e+01  2.18e+02  0.000125  
K  K  1.372532e+04  1.62e+02  0.008501  
Ca  K  2.590192e+05  5.34e+02  0.1073  
Sc  K  6.582545e+01  1.70e+02  2.827e-05  
Ti  K  3.016012e+04  2.16e+02  0.00911  
V  K  6.304245e+01  1.30e+02  1.514e-05  
Cr  K  7.354158e+03  1.44e+02  0.001357  
Mn  K  9.469628e+03  1.62e+02  0.001758  
Fe  K  9.065556e+05  9.70e+02  0.1568  
Co  K  5.452582e+03  2.11e+02  0.0008854  
Ni  K  1.924553e+03  1.08e+02  0.0004069  
Cu  K  8.833932e+02  9.47e+01  0.0001797  
Zn  K  2.049950e+03  1.02e+02  0.0004131  
As  K  4.288168e+02  8.52e+01  9.626e-05  
Rb  K  9.196572e+00  5.76e+01  4.701e-06  
Sr  K  2.023467e+01  4.00e+01  1.464e-05  
Y  K  2.741333e-01  1.40e+01  3.496e-07  
Zr  K  1.378245e+05  1.63e+05  0.3282  
Rh  L  6.227291e+04  4.78e+02  0.1742  
Pd  L  1.324611e+01  4.43e+02  2.627e-05  

SOURCE: MK-ISic000284-g.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.397011e+02  5.07e+01  0.01863  
P  K  1.260594e+03  7.95e+01  0.01748  
S  K  3.499982e+03  9.56e+01  0.01537  
Cl  K  3.172325e+03  2.15e+02  0.006885  
Ar  K  1.192559e+03  2.21e+02  0.001475  
K  K  3.672233e+03  1.16e+02  0.002224  
Ca  K  2.809420e+05  5.53e+02  0.1119  
Sc  K  1.589213e+02  1.75e+02  6.771e-05  
Ti  K  1.560738e+04  1.70e+02  0.00467  
V  K  1.625854e+02  1.15e+02  3.875e-05  
Cr  K  7.524877e+03  1.43e+02  0.001369  
Mn  K  6.405781e+03  1.51e+02  0.001237  
Fe  K  1.112782e+06  1.07e+03  0.2078  
Co  K  7.618361e+03  2.27e+02  0.00135  
Ni  K  1.676955e+03  1.03e+02  0.0004219  
Cu  K  8.935244e+02  8.84e+01  0.0002167  
Zn  K  1.858054e+03  9.50e+01  0.000447  
As  K  3.392084e+02  7.85e+01  9.121e-05  
Rb  K  8.560537e+00  5.53e+01  5.259e-06  
Sr  K  1.375577e+01  3.81e+01  1.197e-05  
Y  K  2.222556e+01  1.40e+01  3.41e-05  
Zr  K  2.435320e+05  1.64e+05  0.6981  
