ISic,As,Au,Ba,Ca,Co,Cr,Cu,Fe,Hg,K,Mn,Ni,Pb,Rb,Sr,Ti,V,Y,Zn,Zr,SiO2,TiO2,Fe2O3,MnO,CaO,K2O
ISic001847,0.1867524699,14.5605864,33.791027,78.18991500000001,0.46226838,39.48001176,57.15,37.8442948201411,10.25410788,1.0514745,0.0095760948,3.226,18.8691215,7.139292660000001,353.938938,0.0255408812,1.3579999999999999,12.13214217,20.4446994,10.605397969999999,,,,,,
ISic002750,1.778273727,10.037138689999999,49.31045218,86.845005,0.4324990488,32.14460172,70.11,168.1792808485,7.73788225,2.074194,0.0058681306,3.477,22.3447417,4.34852183,129.9249768,0.097985392,1.2389999999999999,13.0564606,20.22157197,11.42784638,,,,,,
ISic002750,1.637651556,10.15847691,65.3806395,89.94011,0.00190063440567,24.88870832,76.52000000000001,107.72946115817625,5.48387057,1.3737221999999998,0.008069282300000001,0.0505,19.5272271,9.11523989,120.3548424,0.069846188,21.32,12.093886,13.65228531,14.1666401,,,,,,
ISic002750,0.1190358894,8.45665696,35.5608356,91.99884500000002,0.066934651875,20.8234201,66.42999999999999,154.12591576039316,11.3831703,1.9265849999999998,0.0127729482,6.206,20.5658,4.16638479,134.710044,0.07936222000000001,12.34,12.908372199999999,21.965079330000002,15.719703599999999,,,,,,
ISic002990,0.008925097199999999,6.22629595,3.4630349033,75.24886500000001,0.5873316953,17.414144160000003,75.42,245.55198126552645,9.848961619999999,1.5219063,0.0153911856,10.44,43.6817592,7.38973109,171.898338,0.088618048,22.880000000000003,8.82730271,22.19858478,8.35278065,,,,,,
ISic002990,19.45359849,6.85149627,37.11245356,94.02957,0.3422678952,19.02435612,57.4,101.07375731275496,11.5888283,1.5171137999999997,0.005448634,3.1540000000000004,24.9463154,9.2985752,159.545583,0.077838168,0.5427,7.791917979999999,13.740498480000001,11.46836108,,,,,,
ISic002990,6.75609102,9.05615003,15.2652427,95.17798,0.01198872939047,39.599286719999995,76.47,110.06729903680613,10.199608510000001,1.5416514000000001,0.0091662418,2.519,21.408997799999998,8.416648480000001,172.93857,0.06802476,8.612,10.27486682,21.25418496,11.32115767,,,,,,
ISic002991,0.1287393381,7.3286228300000005,5.5640740393,81.64915,0.7155019199999999,35.57375682,66.76,250.99506440424835,7.9075501,1.5951357,0.0141013541,13.84,37.8102233,8.08712423,184.381122,0.13827984000000001,7.986,10.77713331,25.56625227,7.86120229,,,,,,
ISic002991,0.56041308,9.90963073,62.33175146,93.10524,0.31470703250000004,28.79496326,59.769999999999996,59.597649928438344,8.67362615,1.4490603,0.003688677,2.856,29.5839033,6.50301129,191.402688,0.034796709200000005,17.43,10.51674454,16.97325171,9.74783682,,,,,,
ISic002991,0.7191967859999999,9.38623112,12.758152059999999,89.67401500000001,0.038811406368000005,17.27499004,50.78,126.35127659850761,11.5579796,1.5109793999999999,0.0081777728,0.48100000000000004,29.5839033,9.57178076,170.07793199999998,0.068842544,0.5318,6.43937726,15.9302607,13.774998,,,,,,
ISic003202,1.795916361,11.3317558,68.56873709999999,99.673585,0.08088543067500001,13.37867468,55.37,49.63812686570998,10.8895911,1.2778722,0.0051207516,7.486999999999999,24.6892429,7.2902746800000005,204.795675,0.057244880000000005,0.5561999999999999,9.01241321,59.2066041,11.69794438,,,,,,
ISic003202,1.5016994940000001,7.43350841,74.31531729999999,101.830355,0.029130144288000002,32.18436004,49.6,57.46359407060743,8.221178550000001,1.4233725,0.0056728477,0.1367,22.519551,6.59288154,282.16293,0.05129736,9.438,12.02971436,22.125938639999998,13.788502900000001,,,,,,
ISic003202,19.38095235,7.55895979,246.7332829,106.80213,0.490224,32.71115778,59.94,42.89026957399426,5.5938976,1.4310405,0.0050604791,3.334,24.2367953,6.46346838,414.142365,0.039290804,6.201,9.85775116,49.98054432,4.948195360000001,,,,,,
ISic003202,2.031497415,9.95693207,43.226159599999995,72.67194500000001,0.09755089224300001,31.866293480000003,45.61,155.69631648841371,4.40622265,1.132947,0.0062297656,0.39359999999999995,30.889831599999997,5.40060289,427.535352,0.05858307200000001,12.75,8.86309074,109.1248803,7.61811409,,,,,,
ISic003203,0.6444750419999999,7.744051989999999,128.7489861,99.85565,0.1783385625,20.843299260000002,57.69,11.487781009031039,7.22373725,1.1879648999999999,0.008917919100000001,1.743,17.172442999999998,11.051644210000001,267.85974000000004,0.034882204800000004,2.678,8.57185022,5.199388020000001,12.651390319999999,,,,,,
ISic003203,17.67376806,8.58005176,119.3969354,106.52203000000002,0.6039081236999999,26.07151834,53.650000000000006,12.649322083518996,7.424253800000001,1.115694,0.0072785071000000005,9.597,19.4243981,7.05062068,156.0348,0.023916464800000002,1.876,10.36125172,9.838362960000001,12.465022699999999,,,,,,
ISic003203,0.950626632,6.877203519999999,42.917887760000006,99.141395,0.17193059730000002,23.53692544,53.480000000000004,16.4266627817496,7.88287114,1.1900735999999998,0.0050845881,0.3129,14.2726652,4.83142464,271.630581,0.03178206,3.279,8.92356017,6.25275705,16.611027,,,,,,
ISic003398,24.17559759,8.52555239,79.56570789999999,69.77291,0.30132772879999997,61.65521474,83.12,279.3500420436534,7.088002970000001,1.6518788999999998,0.0111431798,11.76,86.9419195,7.789953270000001,660.807378,0.05806266400000001,0.9171,5.32377798,22.18301775,9.8045574,,,,,,
ISic003398,4.990789818,13.244375199999999,34.964034299999994,63.344615000000005,1.0370503472000001,26.49892028,101.19999999999999,536.8324616656295,7.506517,2.0473559999999997,0.0119484204,0.027100000000000003,23.2804856,10.25239812,1362.70392,0.08902694,30.08,8.70759792,26.02288515,3.53018086,,,,,,
ISic003398,5.38100337,8.50909975,291.9634548,48.87745,1.70698038,26.8865639,118.1,618.9063471160755,9.665925999999999,2.321487,0.0156370974,1.0610000000000002,20.2675959,19.651628,5588.64642,0.08215012000000001,14.049999999999999,4.81657521,33.51062658,1.42341646,,,,,,
ISic003398,17.35723845,8.32503584,98.92169100000001,71.45351000000001,0.144967964547,21.48937196,86.84,483.8528278258167,5.57436009,1.9189169999999998,0.0131008306,7.374,48.1856694,8.20934777,673.810278,0.050814124,15.6,6.9478140999999995,20.10741375,10.59324356,,,,,,
ISic003398,21.67968378,8.07927453,494.0560205,29.396495,1.3477032072000001,41.42816944,109.3,430.5755481543922,11.4037361,1.1833641,0.0109864713,10.12,11.619677,27.440383,8239.93773,0.0352799452,32.96,4.12549601,21.5862816,1.06418612,,,,,,
ISic003398,0.06590042700000001,10.591387,457.2850628,24.70482,0.5225847647999999,46.65638852,110.9,473.65755104910556,17.3986668,1.0758203999999998,0.0107719012,10.39,21.388431999999998,33.1201828,11034.26094,0.11653422,24.57,2.6248668900000003,23.51659332,1.41531352,,,,,,
ISic003398,1.2386166870000002,10.00731828,150.6273818,74.184485,0.5985894425,37.144210460000004,67.95,200.88439420868968,8.85871835,1.7759087999999998,0.0085128879,2.189,21.511826799999998,7.650953949999999,1288.457361,0.063266744,2.537,9.32216478,15.74345634,7.90576846,,,,,,
ISic003398,2.5467661080000004,5.35636261,33.74034868,81.747185,0.6122022368,23.83511284,87.50999999999999,126.66818307732964,8.662314960000002,1.8541223999999998,0.0087949632,3.3529999999999998,16.9050876,8.54246683,881.076504,0.080626068,12.29,10.43899813,22.51511439,8.824101659999998,,,,,,
ISic003398,28.64852421,6.84429824,145.2713937,54.339400000000005,0.5138662928,34.808409160000004,66.66,409.23721670233044,8.67259786,1.5861258,0.0093663465,0.26689999999999997,30.427101099999998,12.2463194,1743.68889,0.05389940000000001,11.729999999999999,8.73227932,91.2227958,0.630813879,,,,,,
ISic003398,112.80907739999999,4.1645745000000005,140.820364,69.91296,1.1312175,35.543938080000004,65.17999999999999,827.8283097960802,12.2777826,2.137455,0.0102077506,3.4139999999999997,29.614752,12.0186481,1340.59899,0.095048804,5.9719999999999995,4.7733827600000005,25.021406220000003,0.11884312000000001,,,,,,
ISic003398,1690.060557,3.74503218,142.7877379,20.657375000000002,15.13387512,41.38841112,43.64,77674.37191506736,0.0826436673,0.9690434999999998,0.02700208,2.2800000000000002,34.1700767,5.27718108,988.090371,0.067913244,37.76,5.50271813,35.73671187,0.0539655804,,,,,,
ISic003398,97.8128385,6.541980980000001,128.6772064,81.32703500000001,0.25144130130000003,40.07638656,65.49,904.5268344104791,7.6196288999999995,2.267811,0.0116542906,5.518000000000001,51.198559100000004,6.17468531,848.309196,0.093413236,9.051,8.9716889,45.88122642,11.525081660000001,,,,,,
ISic004502,5.0738139780000004,17.892246,460.6266423,119.79877000000002,0.06766222560299999,33.51626376,59.290000000000006,13.729647132368338,7.5126867399999995,1.3539770999999998,0.00128814387,3.1719999999999997,20.0105234,5.74570465,191.662746,0.031770908400000006,1.288,10.973350439999999,12.44324598,13.41306668,,,,,,
ISic004502,0.628908012,8.05665215,40.431098760000005,119.39262500000001,0.47344518480000003,22.373994579999998,66.32000000000001,21.696257545305492,10.05461962,1.3512932999999998,0.0028713819,0.01601,16.1133043,9.14519664,170.46801900000003,0.03457367720000001,25.42,13.0441199,13.26829857,10.1961995,,,,,,
ISic004502,1.171678458,13.1106975,122.02792029999999,121.42335000000001,0.108640185003,34.76865084,53.56,23.47688095084308,14.303513899999999,1.4206887,0.002531445,0.040830000000000005,16.6891467,15.745267799999999,180.22019400000002,0.029202323199999998,2.42,8.27443935,23.09628351,12.07878256,,,,,,
ISic004503,0.7908051239999999,8.51321291,67.23868309999999,102.26451,0.8048434352,28.00973644,53.96,8.456505243435906,5.62680288,1.109943,0.0056029316000000004,0.003766,13.7688031,6.54135593,290.224728,0.005631558000000001,1.601,8.468188340000001,12.77534262,9.86397896,,,,,,
ISic004503,1.223049657,8.75383277,96.0187056,109.43507000000001,0.0011367308406300001,20.73396388,51.32,12.31961930148219,9.22067643,1.3016429999999999,0.0043564963,2.0260000000000002,18.971950500000002,6.78819955,155.904771,0.023336581600000003,2.5909999999999997,9.0827552,38.1392235,11.44540275,,,,,,
ISic004503,1.435799067,12.0618417,16.9607057,94.30967000000001,0.2281605557,21.877015580000002,158.0,14.26089638676344,7.2700103,1.0982493,0.0028786146,5.017,18.4783713,6.8361303499999995,149.793408,0.0314437948,10.57,9.96511525,52.460891100000005,10.32449605,,,,,,
